tradeId,riskType,riskCurrency,value,marketDataId,scenarioId,valuationModel,run,errorStatus
21,IR FWD Delta,CNY,-740383.68;274011.06;660591.09;428403.44;40725.52;-442537.77;-16925.01;30592.28;803071.98;98990.25;189101.45;531508.78;-471889.84;-101393.05;54581.86;236332.16;-637843.8;-867088.98;-163066.48;-119375.61;846375.08;218485.04;-762491.68;-612860.33;741036.82;-286604.96;-581278.68;893075.31;685654.03;-171158.87;22262.73;150118.51;-284002.02;-124801.72;326298.93;458191.36;-147146.28;330080.03;953657.87;-396584.04;933006.88;-559206.73;-926829.41;978621.76;-794775.23;-964979.96;347672.57;120100.34;-203307.05;-991380.79;-545624.31;421664.73;-355094.2;-695783.72;-899499.71;273348.92;-655217.09;-127965.25;-493912.19;-29791.6;-991723.28;956266.4;-536135.85;-388913.83;532062.63;-832707.27;-56635.48;-933333.22;251090.02;6814.54;-631336.41;-348421.36;-556541.19;996005.52;-252161.79;164552.95;-472181.59;-225419.23;-534077.51;741772.08;-37465.45;945093.75;303529.58;-914918.75;285918.39;-275556.98;-255206.07;-859903.02;736479.77;-242962.36;736806.25;-37414.99;338261.45;591460.41;967092.0;401746.12;-753925.55;998590.85;-795565.94;-814726.72,2,0,BASE,EOD,
115,IR Zero Delta,GBP,-556403.83;857307.59;-392144.16;-441467.36;-933835.9;-944668.44;276037.88;-900796.1;-89460.23;-878202.21;-320999.83;-613395.37;769278.23;540760.05;-412817.49;-634161.18;-719240.64;658567.34;645509.71;476245.46;566824.92;-432383.89;405162.32;-162065.06;-838586.47;-655063.93;838192.85;24542.38;-802943.87;188494.15;829997.36;623601.44;33742.54;-919855.52;-828313.06;-561437.28;-132647.94;869983.65;828494.61;113992.91;789515.27;-745095.12;727826.5;-241397.16;-414350.45;188422.84;576238.98;-29443.49;41250.36;502845.4;-467551.16;-614843.74;8408.12;68531.92;-82531.83;-22815.13;-400085.72;739463.96;62074.97;282749.61;373513.86;-457410.49;-860818.57;188529.08;-887916.91;966487.09;-411264.01;424464.41;930887.09;-983538.22;-961183.09;-762554.88;427784.16;60725.42;699610.65;-462423.13;-415339.11;470850.32;-35847.73;-330425.72;72169.2;-519140.71;934535.43;-884066.7;-870461.42;-63576.26;502248.98;-160166.55;583396.05;245774.62;-420764.4;318429.68;750552.51;995327.85;784731.45;877935.83;706295.59;200510.12;888507.35;459968.29,6,0,SABR,EOD,
136,IR Basis Delta,GBP,498850.35;700443.03;-650190.01;423374.75;-881453.81;931259.35;-793497.19;-905069.65;-36636.14;508073.53;-55691.66;-505132.87;608078.79;-471305.41;661162.45;-7420.1;-659526.59;-296731.46;-294534.49;902281.99;899822.25;-875219.33;-86292.14;-92024.6;77249.44;575876.77;791166.54;777588.14;-49228.74;-200722.69;520189.26;38779.7;-689465.04;736975.53;-651220.09;807343.0;601283.84;470651.72;875095.56;293731.24;762248.31;274781.49;-239643.4;-271667.61;236877.6;-310661.43;989272.14;29519.35;871962.94;-882017.76;174042.96;-909958.93;-807948.78;112516.43;495154.45;142431.7;761607.98;119426.93;343202.55;437143.23;-606907.38;267386.48;148078.69;-63223.58;307333.65;85890.51;-729538.53;874308.63;-682662.61;-490542.45;-270191.64;103974.3;-597179.6;919864.56;-372016.4;-125322.26;-688411.32;-368461.19;-220048.46;-670463.78;-358624.47;-259214.66;-869034.14;-457982.36;-773500.01;833219.03;-148809.95;-470625.8;805218.1;128363.71;216600.74;-816226.19;-313934.54;-786676.2;-54724.61;908498.02;742275.6;-594896.67;-527765.01;525168.59,7,0,COPULA,EOD,
124,IR Basis Delta,SEK,-73190.01;613355.5;-768710.42;790695.72;-297919.98;-335583.53;-613714.32;-510233.76;585573.28;215225.21;29598.48;-158694.08;-96017.37;-539237.01;419959.49;-657475.86;991648.52;-768485.59;935876.43;-120630.84;-516017.66;-878207.39;-755248.75;-794471.82;100192.47;-877368.4;999446.12;665977.55;399049.12;286193.58;-557678.69;533448.62;65920.13;771812.49;-174811.67;521204.08;-410615.71;-975766.94;132486.44;164581.35;931361.99;172752.72;687564.04;-273727.17;-449133.23;-103625.77;-232621.16;-190202.34;-504940.44;-683880.61;423380.68;-770662.58;944533.5;966300.57;-11124.61;-284575.55;954983.07;816959.26;-973520.03;-358941.61;735788.18;-231600.19;213711.99;-933598.65;572737.9;320052.09;-688484.45;874962.12;-731697.55;-961448.53;-765875.33;-365430.14;594881.83;-557068.32;-652102.24;74502.88;894456.31;486935.09;489292.44;-786332.57;224173.72;-456874.26;-244958.57;-825814.42;924172.2;901132.22;395754.2;-601398.37;128047.62;807844.26;-744902.82;-341037.91;116892.08;-138442.51;-50341.27;561558.42;-925669.27;-539797.19;770936.35;842354.56,5,0,COPULA,EOD,
336,IR Basis Delta,CAD,882078.7;-471780.59;262391.02;642911.58;-164337.35;-398039.12;689925.35;431839.39;785004.07;549207.05;-382021.23;325741.81;57337.79;-897502.91;-300770.9;180400.08;-999105.94;334817.75;-1144.03;817401.61;-339048.5;-465745.85;530004.31;-551636.16;68420.52;-875868.27;-386322.39;64166.71;9412.42;-891306.88;15155.33;211592.68;524148.85;702322.01;376335.63;571018.11;-490240.93;824876.35;144419.0;39035.78;24736.66;886635.46;-702198.44;-275952.04;-251437.46;351465.45;-490288.03;264857.54;-336272.58;-318719.3;-577652.01;997946.79;531939.4;-201865.04;-224718.37;704887.69;815933.71;-457359.55;-43611.72;915363.87;-784206.04;706392.68;370696.73;161503.53;-626891.33;863626.27;512584.79;448111.61;-943110.37;-437315.66;247836.48;-478477.46;473688.65;-565820.07;-831102.91;14486.59;351371.46;-5303.07;823149.79;-174253.51;971528.96;999702.81;-552314.57;-960898.58;-459968.93;317254.63;-891909.85;866025.09;-624144.54;-913099.4;620612.73;849666.32;182606.24;463607.13;443894.37;-805711.98;-603168.34;-346978.74;746893.34;-468123.1,7,0,BASE,EOD,
374,IR Par Delta,GBP,652194.13;-474097.93;259059.96;854540.95;-901341.2;910376.14;278374.68;-591065.43;-681428.48;287180.83;85879.69;-332452.94;-309789.82;-744744.78;-528582.16;-862357.57;119940.87;259376.27;706869.96;602411.15;-836649.68;-313141.65;185700.56;-869842.06;373565.64;788074.09;-900419.62;-821693.66;490181.02;-733963.42;-788420.34;559023.96;430836.91;190063.07;-970988.93;-50808.68;907075.86;-301972.86;662026.54;-573050.14;544866.49;-279301.75;297774.89;137959.47;546213.23;334277.1;783669.5;454270.37;941430.81;-542634.7;133928.97;573241.71;-680062.02;786337.85;668522.5;-78137.54;-514738.9;-143872.81;831886.87;498696.2;915106.57;467389.08;319456.57;33693.62;-476876.28;820796.03;-451587.24;-63191.51;-819643.62;440181.13;329506.59;-282694.22;-319465.29;183436.79;547468.38;66903.64;-23681.27;579818.26;-230144.58;-969744.43;48814.43;-797860.0;122607.72;-933416.71;-714918.52;159016.18;430915.22;560105.71;333947.62;-822213.39;548302.58;-213600.89;922788.07;814239.6;-841977.9;687146.82;615665.31;-961724.1;620502.11;-31511.57,5,0,COPULA,EOD,
805,IR FWD Delta,JPY,-937577.89;-404051.36;-859163.62;322536.18;-480000.31;-230024.92;-125888.1;324150.34;150306.19;-617465.62;610416.71;883658.65;-395103.46;434827.93;-940604.18;-438326.75;109825.83;536787.58;362577.61;-268226.22;170515.71;704834.04;-466508.17;-522552.52;172696.28;870941.4;725310.51;898398.23;519483.24;-652022.46;965132.98;-236836.86;5056.03;709594.42;737469.48;101756.81;162665.88;202301.44;-32044.27;393605.65;602719.37;480167.44;-881716.1;-597725.95;712063.69;610182.93;-356197.52;635418.17;-583130.16;502649.71;-154388.23;385212.66;947552.96;953248.7;-625862.56;-588639.69;-251091.63;992854.38;-928254.13;764348.96;-885077.89;-124889.6;860493.97;913529.03;530062.44;516794.47;941025.15;-537254.2;-383843.06;286294.16;553794.88;-393203.87;-184487.12;536028.28;433067.72;-497165.12;989688.28;465292.81;-923942.76;-609937.44;705905.78;-133283.28;-537021.32;757235.74;-572120.27;-564839.71;711198.05;613920.54;-315225.94;231213.98;643984.39;-57463.14;501015.07;654805.37;-260614.96;-641764.22;-16653.34;-679549.56;451020.72;940992.35,6,0,SABR,EOD,
814,IR Par Delta,CHF,834312.47;818378.04;342551.95;-23222.81;333394.01;-872274.77;-746201.88;930204.39;-780221.2;147615.05;-412266.55;889441.21;-90272.33;156884.68;-811162.67;-962364.79;-342317.58;967302.0;795159.81;313246.29;39856.71;835268.49;-985781.09;-946015.54;-41157.12;809104.72;-204855.99;-106794.76;-882269.59;151127.48;-152554.67;-973124.51;573612.88;-220105.14;267696.96;523126.2;-481880.04;574040.1;-343065.19;314552.14;-257397.77;669688.96;763532.44;-172050.28;-448297.96;929924.65;383765.98;287624.19;787967.17;257474.2;-467476.62;-987537.83;354508.89;-314229.52;-371850.25;-874015.12;-149971.12;-787109.54;-789368.8;-424158.59;-42622.9;626757.14;535079.49;213087.33;-980416.45;-436281.7;266163.28;-485326.14;426380.68;661892.33;-625765.61;-130229.7;77570.84;387355.22;19299.27;50418.19;122252.07;350379.39;903624.92;-895622.53;474620.57;995523.66;-968124.65;-412405.35;652170.49;-928848.45;140421.67;-491326.58;295119.0;778955.76;670284.93;501870.23;-628850.17;-873898.59;646989.59;-882673.84;-525769.02;571358.01;-705164.78;868888.84,5,0,COPULA,EOD,
872,IR Basis Delta,CAD,-741833.66;-446473.35;-186040.61;-240994.08;-135130.66;422915.9;602691.24;-340923.2;974957.51;925237.4;960598.96;752491.48;-40978.5;-47980.23;-471829.85;-57354.73;218351.76;615812.88;-968535.59;203722.14;134530.43;328452.04;887117.63;795506.26;-998950.75;-692922.75;222127.18;156564.31;546075.96;-651659.01;910727.02;-744001.43;-296908.63;458314.2;-323432.36;-968342.08;891701.39;-884861.45;201997.34;-216581.95;402823.5;-297477.98;-458887.07;-391212.65;737901.91;-755198.39;-994743.63;920790.49;-565154.88;-755988.27;8596.28;566803.11;-313092.53;-370015.86;-964354.41;276545.8;811034.01;738614.76;217541.64;779534.37;-504554.17;-351560.24;-686655.42;-234185.2;-661720.39;456431.59;-463259.06;-441168.15;-792566.94;279679.68;-425850.03;192699.59;-556772.96;207426.48;-145535.64;-180075.01;-10402.99;-96928.21;-742590.46;645320.06;478170.13;-510513.63;702582.83;-408570.05;864054.42;656987.47;-395178.81;185683.94;77653.44;-544706.16;517719.38;-1645.99;-251515.15;578985.63;677641.07;686071.17;244903.0;682317.19;-437247.57;-301742.97,3,0,COPULA,EOD,
101,IR FWD Delta,CNY,329812.6;-902100.42;-387628.1;-347867.15;210877.8;942550.64;925527.76;-12623.49;789716.32;998128.73;99220.3;260659.82;-41907.96;478457.9;958509.26;-411296.16;-229174.19;827990.34;133226.03;-423256.2;-679526.75;891131.91;-642076.23;-261206.63;846738.02;395805.41;176461.71;785307.07;874184.45;388681.29;-671992.15;-154238.3;-586917.79;-174588.62;158098.82;161437.55;390369.26;-211961.43;216488.89;180267.6;-528750.12;247196.11;506108.34;-238315.16;-359313.8;278814.52;-598462.55;-417948.51;-13098.87;-764690.11;-462981.76;-796171.96;323632.36;-979815.68;875332.92;-816832.75;378061.96;-247239.13;234869.45;-210299.74;-318115.82;-352393.93;-857234.24;-117265.84;-223598.17;967570.77;-219554.67;-953702.11;20530.83;922869.36;-217190.79;972401.18;626186.15;767695.76;-424595.35;883325.38;675385.62;548997.0;-208809.61;249740.73;-898193.6;-769340.72;-65363.3;-380259.07;-155294.12;-570184.19;-919123.83;3456.6;681085.15;-627058.13;109617.24;195778.44;-549822.8;-628875.39;958503.86;981519.77;391455.27;-682007.21;-614287.37;-683690.36,2,0,MC,EOD,
