id,bookName,bookingSystem,region,cutTime,status,bookType,internalRiskControlFramework,fxTreatment,riskRelevant,pnlRelevant,description,bookOwnerId,costCenter,costCenterType,subDeskId,subdesk,subDeskType,deskId,deskCode,desk,deskRegion,deskCity,functionId,function,functionCat,segmentId,segment,areaId,area,groupId,group
0,CDQW,SwapsWire,APAC,NewYork,Open,Test,MarketRisk,DailySellDown,Valid,Valid,exotic internal internal the industry making quantititve making internal quantititve relative outside book ,119019,1,costCentre_G,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
1,XIMM,MX,EMEA,Tokyo,Open,Prod,MarketRisk,NA,NotValid,Valid,mammoth the the a ,253946,1,costCentre_G,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
2,WPMQ,MX,US,NewYork,Open,Test,MarketRisk,Other,Valid,Valid,price the internal of internal exotic quantititve market book price for a for making value capital trading ,614233,1,costCentre_G,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
3,TDKQ,Calypso,APAC,HongKong,Open,Prod,MarketRisk,Other,Valid,Valid,industry value mammoth of internal trading of quantititve of book ,732437,1,costCentre_G,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
4,KMSI,MX,APAC,London,Open,Prod,CreditRisk,NA,Valid,Valid,a making industry mammoth industry capital price of capital book value internal value of making outside trading internal value for ,828307,1,costCentre_G,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
5,ISBY,Calypso,EMEA,Tokyo,Open,Prod,MarketRisk,DailySellDown,Valid,NotValid,,546678,2,costCentre_Y,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
6,JPQX,Aladdin,US,NewYork,Open,Prod,MarketRisk,Other,Valid,NotValid,price the industry exotic relative value industry quantititve mammoth making ,427873,2,costCentre_Y,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
7,GJTK,ION,EMEA,London,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,industry capital making book outside relative exotic exotic book market capital exotic internal ,751186,2,costCentre_Y,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
8,ANYR,BBG,APAC,Tokyo,Closed,Prod,MarketRisk,NA,Valid,Valid,quantititve internal mammoth a industry market price the the mammoth industry relative industry quantititve value a the of for ,742655,2,costCentre_Y,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
9,EIRM,Anvil,US,NewYork,Open,Test,NA,MonthlySellDown,Valid,Valid,value price capital value the industry making ,853504,2,costCentre_Y,1,BEZHKO,Strategic,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
10,AKUZ,Aladdin,EMEA,NewYork,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,,696605,3,costCentre_C,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
11,FFNV,LoanIQ,APAC,NewYork,Open,Test,MarketRisk,DailySellDown,NotValid,Valid,exotic relative exotic outside exotic exotic for making trading the market making internal outside making quantititve book quantititve ,209942,3,costCentre_C,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
12,DWVD,MX,US,HongKong,Closed,Test,CreditRisk,,NotValid,Valid,outside relative price market mammoth relative relative industry mammoth internal industry of a relative relative trading for value outside of ,443500,3,costCentre_C,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
13,LJTQ,Anvil,APAC,London,Open,Prod,MarketRisk,NA,Valid,Valid,price internal trading internal of of ,481082,3,costCentre_C,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
14,RFRW,Calypso,APAC,HongKong,Open,Prod,MarketRisk,Other,Valid,Valid,of outside internal making the book a market a value ,114791,3,costCentre_C,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
15,IZPK,MX,US,London,Open,Prod,MarketRisk,NA,Valid,Valid,exotic relative exotic a book for exotic mammoth ,795190,4,costCentre_B,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
16,YBSW,MX,EMEA,London,Open,Test,NA,MonthlySellDown,NotValid,Valid,capital a for industry making for a price book outside book outside of trading price the for price exotic exotic ,511451,4,costCentre_B,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
17,SZLB,MX,APAC,Tokyo,Open,NonProd,MarketRisk,,Valid,NotValid,for value of relative relative market for making industry ,583727,4,costCentre_B,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
18,DDKZ,Calypso,EMEA,London,Open,Test,MarketRisk,NA,Valid,NotValid,a a trading internal ,295390,4,costCentre_B,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
